subid,samid,time,timel,timec,timeb,spct,spctl,spctc,factor,replicate,trt,trtl,trtc,fastq_file_1,fastq_file_2,bam_file,threep_adapter_seq,fivep_adapter_seq
,WES-EA-T-1,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_EA_T_1.bwa.dedup.bam,,
,WES-EA-N-1,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_EA_N_1.bwa.dedup.bam,,
,WES-FD-T-1,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_FD_T_1.bwa.dedup.bam,,
,WES-FD-N-1,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_FD_N_1.bwa.dedup.bam,,
#,WES-FD-T-2,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_FD_T_2.bwa.dedup.bam,,
#,WES-FD-N-2,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_FD_N_2.bwa.dedup.bam,,
#,WES-FD-T-3,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_FD_T_3.bwa.dedup.bam,,
#,WES-FD-N-3,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_FD_N_3.bwa.dedup.bam,,
#,WES-IL-T-1,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_IL_T_1.bwa.dedup.bam,,
#,WES-IL-N-1,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_IL_N_1.bwa.dedup.bam,,
#,WES-IL-T-2,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_IL_T_2.bwa.dedup.bam,,
#,WES-IL-N-2,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_IL_N_2.bwa.dedup.bam,,
#,WES-IL-T-3,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_IL_T_3.bwa.dedup.bam,,
#,WES-IL-N-3,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_IL_N_3.bwa.dedup.bam,,
#,WES-LL-T-1,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_LL_T_1.bwa.dedup.bam,,
#,WES-LL-N-1,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_LL_N_1.bwa.dedup.bam,,
#,WES-NC-T-1,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_NC_T_1.bwa.dedup.bam,,
#,WES_NC_N_1,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_NC_N_1.bwa.dedup.bam,,
#,WES-NV-T-1,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_NV_T_1.bwa.dedup.bam,,
#,WES-NV-N-1,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/cnv/data/WES_NV_N_1.bwa.dedup.bam,,
,HG001,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/small_variants/data/HG001.bam,,
,HG002,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/small_variants/data/HG002.bam,,
#,HG003,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/small_variants/data/HG003.bam,,
#,HG004,,,,,,,,,,,,,,,gs://cidc-data-cidc-prod2-acl/biofx_pipeline_validation_data/wes-truth-set/small_variants/data/HG004.bam,,
